datetime,code,open,high,low,close,volume,amount,adjustflag
2019-01-09 14:00:00,sh.600000,10.09,10.11,10.08,10.1,260480,2630411.0,3
2019-01-09 14:05:00,sh.600000,10.1,10.1,10.08,10.08,98820,997036.0,3
2019-01-09 14:10:00,sh.600000,10.08,10.09,10.08,10.09,184533,1860668.0,3
2019-01-09 14:15:00,sh.600000,10.09,10.09,10.08,10.09,80600,812938.0,3
2019-01-09 14:20:00,sh.600000,10.09,10.09,10.08,10.09,149800,1510769.0,3
2019-01-09 14:25:00,sh.600000,10.09,10.09,10.08,10.09,149800,1510778.0,3
2019-01-09 14:30:00,sh.600000,10.09,10.09,10.07,10.07,300667,3030601.0,3
2019-01-09 14:35:00,sh.600000,10.07,10.08,10.06,10.06,313959,3161311.0,3
2019-01-09 14:40:00,sh.600000,10.06,10.07,10.01,10.01,1043791,10477379.0,3
2019-01-09 14:45:00,sh.600000,10.01,10.03,10.0,10.0,711900,7129064.0,3
2019-01-09 14:50:00,sh.600000,10.0,10.01,10.0,10.0,345533,3457105.0,3
2019-01-09 14:55:00,sh.600000,10.0,10.01,9.98,10.0,812897,8123500.0,3
2019-01-09 15:00:00,sh.600000,10.0,10.01,9.99,9.99,309116,3089186.0,3
